Switzerland - National monthly pretax income,
Source: BfS manually put together,
"Data: public and private sector, not differentiated by economic sector, or type of work",
,
date,inc
1998,5073
2000,5200
2002,5416
2004,5531
2006,5674
2008,5823
2010,5979
2012,6439
