Quarter,Bezirk Affoltern,Bezirk Andelfingen,Bezirk Bülach,Bezirk Dielsdorf,Bezirk Hinwil,Bezirk Horgen,Bezirk Meilen,Bezirk Pfäffikon,Bezirk Uster,Bezirk Winterthur,Bezirk Dietikon,Bezirk Zürich,Arrondissement administratif Jura bernois,Verwaltungskreis Biel/Bienne,Verwaltungskreis Seeland,Verwaltungskreis Oberaargau,Verwaltungskreis Emmental,Verwaltungskreis Bern-Mittelland,Verwaltungskreis Thun,Verwaltungskreis Interlaken-Oberhasli,Wahlkreis Luzern-Land,Wahlkreis Hochdorf,Wahlkreis Sursee,Bezirk March,Kanton Zug,District de la Gruyère,District de la Sarine,Bezirk See / District du Lac,Bezirk Dorneck,Bezirk Gösgen,Bezirk Wasseramt,Bezirk Lebern,Bezirk Olten,Kanton Basel-Stadt,Bezirk Arlesheim,Bezirk Liestal,Bezirk Sissach,Bezirk Schaffhausen,Bezirk Mittelland,Wahlkreis St. Gallen,Wahlkreis See-Gaster,Wahlkreis Toggenburg,Bezirk Aarau,Bezirk Baden,Bezirk Bremgarten,Bezirk Brugg,Bezirk Kulm,Bezirk Laufenburg,Bezirk Lenzburg,Bezirk Muri,Bezirk Rheinfelden,Bezirk Zofingen,Bezirk Zurzach,Bezirk Frauenfeld,Bezirk Weinfelden,Distretto di Locarno,Distretto di Lugano,District d'Aigle,District de la Broye-Vully,District du Gros-de-Vaud,District du Jura-Nord vaudois,District de Lausanne,District de Lavaux-Oron,District de Morges,District de Nyon,District de l'Ouest lausannois,District de la Riviera-Pays-d'Enhaut,District de Conthey,District de Martigny,District de Monthey,District de Sierre,District de Sion,District de Boudry,Canton de Genève,District de Delémont,Schweiz
2012.25,115.83,100.52,131.27,110.97,115.7,124.46,124.87,122.6,129.94,124.55,123.19,137.94,112.24,123.35,118.46,102.38,110.49,113.52,92.13,96.25,138.82,81.18,66.37,108.34,113.61,87.07,97.23,90.6,89.58,94.71,108.2,110.17,132.46,103.18,117.2,99.93,103.47,143.55,130.38,131.26,113.76,103.09,125.1,111.99,119.31,103.62,127.61,103.38,128.27,104.41,115.12,122.7,114.68,106.87,118.86,118.61,139.05,131.7,153.19,127.91,131.89,124.87,133.6,130.68,127.41,126.27,142.89,118.96,125.28,145.56,139.05,175.78,95.38,128.15,134.77,117.9698667
2012.5,132.57,93.24,123.68,120.89,126.78,128.04,117.47,120.74,120.64,128.11,118.38,127.77,133.2,114.53,120.01,106.44,116.79,114.76,105.1,150.41,136.94,86.58,73.75,125.36,122.55,101.07,101.95,114.26,110.77,100.55,111.39,107.08,121.97,107.27,114.12,101.49,102.5,123.5,140.95,110.71,117.65,102.67,115.42,117.71,118.03,97.95,113.11,112.16,123.52,137.48,124.44,127.82,101.38,111.76,128.45,117.19,123.39,141.31,153.66,107.02,121.53,112.79,166.75,123,140.65,136.88,155.2,115.7,95.77,151.56,129.54,145.94,119.63,137.86,113.65,119.9050667
2012.75,141.02,106.14,119.91,115.74,126.04,122.83,126.79,126.53,132.28,127.78,121.42,146.52,138.23,137.73,130.67,106.09,117.29,116.39,101.34,167.69,118.78,97.38,85.93,126.5,135.86,110.19,104.66,110.88,98.79,106.54,117.17,123.69,137.8,117.28,115.24,113.89,111.68,124.25,127.47,127.72,121.33,118.25,113.1,119.04,117.21,102.43,115.02,121.56,124.76,109.24,124.38,127.71,111.9,116.03,127.64,121.01,120.25,143.37,156.96,105.96,133.06,120.23,164.82,138.64,132.68,132.42,164.4,101.92,119.46,126.69,124,130.35,117.82,140.16,131,123.1324
2013,140.64,119.79,130.14,109.26,128.3,141.87,129.12,116.88,132.13,138.76,126.54,141.77,129.72,136.54,116.61,116.08,109.14,123.15,105.69,121.23,152.96,97.7,80.15,126.69,138.73,107.54,111.69,112.46,105,98.53,99.81,119.41,120.39,121.22,113.24,102.03,89.17,114.66,123,116.8,140.74,128.47,102.35,118.72,122.62,113.35,128.92,107.3,133.92,125.71,123.01,127.16,111.14,112.72,119.85,130.65,131.96,143.81,157.79,119.64,138.39,124.21,165.54,130.07,130.4,119.86,158.62,100.99,129.38,129.66,135.71,160.98,149.97,138,136.2,124.1646667
2013.25,141.06,104.51,129.13,117.07,127.24,120.95,123.27,128.7,132.33,133.23,123.16,143,150.73,129.77,114.97,117.03,101.45,117.38,114.17,108.09,155.79,90.75,78.01,138.35,132.46,105.7,97.69,118.63,99.93,103.21,100.21,122.58,134.94,110.27,111.39,101.45,116.64,124.95,99.6,113.26,118.62,110.99,116.69,126.22,122.56,90.29,165.3,117.44,132.02,107.78,134.04,127.63,128.16,106.07,117.16,103.04,143.17,163.57,175.06,118.09,148.16,148.6,171.84,136.67,128.54,135.11,148.66,123.51,114.95,125.18,155.88,112.81,114.14,140.93,121.91,123.7845333
2013.5,138.3,103.67,134.84,114.19,128.14,128.83,119.75,130.06,136.28,133.78,134.8,144.42,116.88,139.93,121.98,138.03,102.2,125.21,106.27,143.18,145,102.8,61.57,162.43,133.21,118.47,104.06,118.81,112.3,98.87,112.9,110.88,119.57,114.53,120.89,99.95,104.26,134.01,127.37,134.71,139,115.03,110.22,115.68,124.76,116.83,134.74,110.8,121.42,130.84,132.71,131.18,111.9,122.82,156.48,137.99,125.12,153.52,157.33,109.77,134.6,111.78,163.16,122.82,130.9,147.19,140.67,122.69,126.58,138.83,155.83,157.59,139.24,136.79,128.41,126.5673333
2013.75,150.5,121.18,136.02,120.66,130.73,133.52,134.42,127.22,138.03,135.48,129.58,135.81,143.62,123.33,126.59,116.93,110.93,123.99,107.2,141.85,147.94,94.58,93.53,127.2,121.89,116.06,102.9,118.88,105.68,108.45,100.07,115.19,130.59,119.21,118.74,107.77,99.71,124.78,113.15,125.82,133.99,115.32,119.2,123.65,120.45,127.61,123.62,95.57,136.48,141.62,130.6,142.39,119.95,113.39,122.47,120.53,152.56,147.71,174.44,121.84,138.39,134.81,170.04,128.8,133.37,151.32,153.35,114.52,122.38,139.82,143.14,138.71,134.82,134.75,129.03,127.0716
2014,131.54,101.47,133.84,118.35,121.63,131.89,132.06,130.91,138.44,133.56,132.34,145.79,121.06,116.78,129.87,110.82,117.36,125.11,108.12,171,168.48,116.37,88.79,132.59,126.19,122.3,108.95,115.68,109.88,101.26,113.26,124.48,152.12,111.77,114.22,108.99,106.4,116.49,148.55,139.49,129.46,117.83,115.45,116.31,128.96,124.9,140.91,131.02,136.42,124.65,122.84,141.34,126.08,88.23,125.64,121.97,118.58,148.09,174.63,118.1,147.86,138.85,157.66,124.3,130.2,122.27,155.16,112.58,148.77,150.75,171.94,153.26,135.82,125.97,115.71,128.2761333
2014.25,149.51,123.42,128.28,115.05,124.7,122.77,120.35,123.31,145.16,138.49,121.36,133.57,142.93,123.07,115.14,101.56,101.94,123.22,116.98,133.23,157.57,101.53,86.93,145.67,128.95,111.17,96.05,122.82,109.38,113.19,100.29,116.61,145.37,130.19,124.77,113.22,106.23,134.91,109.09,138.05,132.52,168.64,115.78,125.13,123.86,108.56,134.75,136.58,134.4,131.86,130.21,138.25,120.8,123.67,142.98,127.36,132.3,156.98,230.16,118.5,142.56,111.39,151.8,130.71,140.7,141,160.21,117.68,147.53,124.48,144.88,149.97,132.11,137.2,121.78,129.1109333
2014.5,147.06,105.95,139.59,120.1,123.29,131.79,122.27,135.87,138.43,138.54,124.38,148.84,136.64,131.39,121,110.36,123.78,121.21,116.55,146.42,148.53,118.11,74.7,106.64,117.31,134.62,118.16,123.4,103.52,138.93,115.66,115.85,127.13,117.82,124.1,109.91,106.29,127.83,154.01,124.93,129.84,110.02,121.61,114.58,126.49,115.22,137,120.51,128.58,138.4,120.62,133.24,121.89,116.4,135.36,144.08,126.48,171.44,175.51,120.1,131.37,122.6,168.72,131.93,132.71,155.39,135.56,117,148.98,155.74,136.86,140.5,129.85,132.58,118.11,128.7490667
2014.75,141.37,123.53,133.42,128.88,126.7,132.41,120.81,129.42,139.94,137.02,134.08,130.19,132.34,133.88,125.62,101.49,113.19,126.45,116.75,111.22,146.55,120.17,62.85,154.88,119.46,111.19,121.04,115.56,97.25,104.91,105.84,113.75,139.23,121.63,119.61,113.19,117.01,137.17,133.43,125.48,133.67,112.14,121.32,123.06,130.26,131.8,132.18,126.27,141.9,135.5,130.7,127.59,120.65,118.34,159.6,136.2,126.34,133.58,151.56,114.7,138.52,122.41,155.21,136.36,123.56,166.27,140.43,113.33,144.24,123.59,126.02,160.77,175.61,129.66,145.27,128.3669333
2015,137.64,119.89,134.23,123.02,131.13,141.59,116.49,137.88,145.97,138.2,128.86,142.57,142.19,131.21,125.84,119.68,108.42,128.11,140.79,107.19,157.8,114.81,71.52,131.11,128.89,121.47,105.33,119.05,120.53,110.86,120.21,89.74,127.96,128.29,128.03,106.48,121.51,140.29,168.39,84.47,150.27,114.33,121.2,128.9,132.26,118.9,139.99,121.73,139.92,132.2,140.37,131.27,117.63,97.53,136,112.92,147.18,133.59,192.17,104.82,148.88,131.93,146.42,134.2,128.3,128.41,137.31,122.39,166.2,140.99,124.13,171.84,149.64,137.02,119.14,129.3016
2015.25,141.06,117.48,129.43,124.32,130.38,126.54,128.1,137.5,136.82,132.86,131.82,131.57,119.34,138.51,128.35,118.15,117.94,126.31,107.73,141.74,146.6,97.03,70.41,128.38,118.21,127.55,118.87,119.23,102.69,172.67,107.99,108.59,115.82,127.08,117.82,107.94,106.6,109.52,198.16,100.11,136.77,105.68,114.94,129.22,135.36,154.67,149.47,121.23,140.28,153.7,128.66,137.77,134.91,123.89,127.61,164.93,123.48,152.48,161.61,140.69,134.33,130.15,172.85,127.85,127.9,134.93,153.69,135.1,121.14,146.29,137.02,146.63,126.3,130.49,126.96,130.0826667
2015.5,148.39,119.54,139.04,126.46,131.22,146.68,126.84,131.65,142.3,146.42,138.66,147.09,131.22,125.33,130.92,115.86,124.54,124.55,115.09,151.44,144.54,133.84,83.7,140.16,128.82,126.27,123.84,112.6,126.93,118.27,122.59,128.66,122.29,126.06,124.21,127.41,126.85,110.49,112.79,119.12,136.84,100,124.8,121.64,128.06,117.94,153.49,108.14,154.83,132.88,121.69,154.06,127.14,128.43,116.52,140.86,141.66,136.27,163.77,118.12,154.55,128.82,173.31,112.85,125.64,137.51,150.61,111.33,132.06,147.89,158.25,142.74,131.82,135.49,128.14,130.9444
