Quarter,Bezirk Affoltern,Bezirk Bülach,Bezirk Dielsdorf,Bezirk Hinwil,Bezirk Horgen,Bezirk Meilen,Bezirk Pfäffikon,Bezirk Uster,Bezirk Winterthur,Bezirk Dietikon,Bezirk Zürich,Verwaltungskreis Biel/Bienne,Verwaltungskreis Seeland,Verwaltungskreis Oberaargau,Verwaltungskreis Emmental,Verwaltungskreis Bern-Mittelland,Verwaltungskreis Thun,Verwaltungskreis Interlaken-Oberhasli,Wahlkreis Luzern-Stadt,Wahlkreis Luzern-Land,Wahlkreis Hochdorf,Wahlkreis Sursee,Bezirk Höfe,Bezirk March,Kanton Obwalden,Kanton Nidwalden,Kanton Zug,District de la Gruyère,District de la Sarine,Kanton Basel-Stadt,Bezirk Arlesheim,Bezirk Liestal,Bezirk Schaffhausen,Wahlkreis St. Gallen,Wahlkreis Rorschach,Wahlkreis See-Gaster,Wahlkreis Wil,Bezirk Albula,Bezirk Imboden,Bezirk Maloja / Distretto di Maloggia,Bezirk Plessur,Bezirk Prättigau-Davos,Bezirk Surselva,Bezirk Aarau,Bezirk Baden,Bezirk Bremgarten,Bezirk Brugg,Bezirk Lenzburg,Bezirk Rheinfelden,Bezirk Zofingen,Distretto di Locarno,Distretto di Lugano,District d'Aigle,District de Lausanne,District de Lavaux-Oron,District de Morges,District de Nyon,District de l'Ouest lausannois,District de la Riviera-Pays-d'Enhaut,Bezirk Brig,District de Conthey,District d'Entremont,Bezirk Leuk,District de Martigny,District de Monthey,District de Sierre,District de Sion,Bezirk Visp,District de Boudry,District de la Chaux-de-Fonds,District de Neuchâtel,Canton de Genève,Schweiz
2012,132.52,125.97,121.33,113.79,122.55,133.76,111.56,125.93,121.73,130.5,138.03,103.88,106.14,108.84,112.63,111.36,127.99,96.7,118.69,129.87,124.42,122.83,125.67,136.67,122.77,90.54,121.2,104.22,122.75,115.58,113.37,98.05,107.52,109.55,111.05,125.41,127.21,121.12,125.06,114.36,97.18,123.15,128.13,121.14,121.48,120.8,114.4,119.58,102.23,126.11,135.33,126.01,122.42,145.53,145.53,134.61,148.59,141.37,136.07,110.45,149.09,118.98,95.56,123.39,117.92,144.88,121.63,132.56,118.02,124.6,126.26,154.04,121.9466667
2012.25,136.29,131.04,121.58,113.85,128.32,137.08,121.06,126.48,126.46,137.08,144.09,106.35,125.41,114.12,115.5,114.65,130.83,111.12,137.75,134.89,97.21,131.12,139.06,135.09,119.67,92.87,116.91,113.88,129.84,117.14,122.33,96.47,108.51,117.43,120.19,125.23,118.61,130.48,137.07,137.09,108.98,121.55,132.58,109.83,119.91,119.58,119.55,128.22,101.25,97.24,127.99,128.66,115.55,149.06,161.53,135.02,141.54,117.65,141.76,142.21,163.4,102.27,96.78,140.33,120.27,132.08,141.87,111.5,129.25,116.82,122.35,146.7,124.4920833
2012.5,134.65,132.52,119.57,119.43,140.47,141.24,120.85,122.86,126.41,128.23,134.5,106.11,112.61,106.19,117.25,116.71,136.61,106.19,134.79,121.91,119.67,119.85,148.78,139.39,146.15,91.14,135.46,110.3,133.81,135.9,126.98,96.25,107.68,117.33,125.26,133.41,115.82,130.74,149.86,128.24,100.88,139.76,119.8,119.28,125.63,125.65,111.24,122.64,108.63,107.04,138.55,131.12,116.51,154.48,162.34,138.13,144.37,150.88,143.67,102.57,144.02,111.37,102.72,149.57,109.22,141.12,139.07,136.71,146.78,123.33,118.57,151.98,126.7881944
2012.75,142.29,136.61,124.13,125.9,137.23,153.27,127.47,128.62,130.28,132.43,144.66,117.76,119.4,107.83,115.93,119.64,133.51,122.81,125.8,129.05,111.88,126.84,144.75,131.99,126.02,106.67,131.61,113.47,133.71,125.3,126.66,104.21,112.91,119.25,110.73,126.33,123.16,127.94,117.62,151.37,108.02,136.11,132.98,120.97,126.92,127.75,111.65,127.28,111.28,113.68,127.11,146.72,132.25,145.7,174.3,137.17,143.58,149.24,146.96,109.92,137.03,140.42,101.01,133.32,132.74,139.99,125.7,148.85,126.58,119.19,118.66,148.26,128.4497222
2013,138.96,142.74,119.03,122.48,137.2,144.74,124.06,132.29,131.46,131.68,146.2,107.63,126.9,121.81,115.13,115.84,125.52,108.09,144.86,136.35,114.68,139.1,146.72,136.24,132.68,94.21,139.06,109,139.11,133.82,124.69,101.28,122.82,130.35,129.21,132.38,127.28,132.82,146.27,124.1,101.94,137.37,128.57,114.1,124.48,120.74,117.07,124.19,111.27,120.75,131.93,129.66,120.21,156.4,166.69,140.24,148.46,172.27,153.32,125.8,154.55,121.6,94.98,164.95,123.95,132.12,145.49,129.71,126.58,125.9,122.22,140.55,129.95625
2013.25,157.61,134.35,131.47,125.12,126.71,142.97,132.04,136.55,127.63,140.67,146.63,112.84,122.9,114.56,116.67,124.84,134.12,126.85,133.15,134.01,143.35,132.83,150.64,136.51,120.44,101.1,134.3,117.96,143.36,130.12,124.81,103.52,123.5,122.69,122.96,120.71,117.4,134.56,144.24,135.97,101.28,132.02,135.37,126.69,130.19,123.16,117.08,122.04,107.98,119.79,126.4,136.99,120.21,161.97,160.5,146.43,150.24,163.21,154.17,113.71,153.69,143.64,104.1,149.57,128.78,146.16,155.25,139.46,131.77,128.88,114.18,162.6,131.8079167
2013.5,147.17,138.08,127.15,122.65,134.37,146.75,132.2,133.97,135.09,137.89,152.53,115.43,122.02,111.24,119.32,121.71,139.16,117.82,157.42,136.99,137.75,133.7,148.07,156.05,140.9,105.76,134.88,112.98,141.71,129.86,133.49,107.74,126.25,130.53,129.56,144.22,134.9,139.06,137.45,134.22,110.31,151.58,133.3,133.35,130.04,135.01,127.7,147.21,111.43,104.99,139.75,144.39,128.85,152.9,169.92,146.63,151.66,161.65,154.15,113.69,174.96,119.33,98.5,138.94,123.21,140.02,160.26,145.79,120.81,133.02,131.29,161.25,134.7768056
2013.75,140.34,135.68,134.53,129.83,141.47,151.32,133.98,140.35,142.71,152.39,152.11,113.64,126.43,118.19,121.75,127.85,144.06,120.13,148.58,139.27,133.74,147.63,137.9,145.33,144.61,98.73,149.98,118.98,148.66,136.01,134.36,111.77,112.82,129.36,137.29,138.46,135.81,131.52,146.64,126.56,117.6,146.81,134.5,126.75,133.79,130.12,124.44,131.11,102.43,113.66,144.09,142.63,127.42,167.27,163.11,156.22,147.7,159.95,161.9,118.78,172.07,120.17,97.41,155.75,119.95,140.92,136.9,112.47,135.57,119.37,148.99,162.34,135.4577778
2014,145.34,138.97,134.61,131.33,143.56,149.52,138.11,141.02,140.01,144.98,152.4,115.66,125.46,128.65,135.22,126.27,144.42,116.51,146.71,140.59,141.26,157.99,154.48,154.57,130.22,111,144.23,113.13,146.52,144.52,127.14,115.6,134.82,140.8,129.97,145.26,140.22,132.9,149.19,129.7,108.97,148.07,140.89,131.08,133.03,127,120.49,129.12,105.21,119.75,137.84,155.77,123.15,166.04,163.2,159.11,154.24,162.56,152.22,114.03,165.67,134.88,112.76,153.02,139.59,145.51,155.21,146.56,133.05,114.84,141.74,159.39,138.0118056
2014.25,148.99,150.26,126.13,134.62,150.13,148.59,138.94,140.11,137.63,145.62,156.69,114.98,114.19,112.02,115.09,124.94,147.4,121.37,155.75,151.97,144.56,129.65,154.22,155.41,167.87,84.3,137.75,123.9,144.58,147.08,136.22,112.81,120.13,149.44,151.05,154.24,123.3,132.75,159.7,131.04,104.66,155.47,140.51,119.75,141.86,127.77,123.14,122.66,106.8,120.29,127.7,143.73,136.07,154.94,177.37,154.82,154.17,165.9,142.88,128.38,169.88,118.01,96.06,169.47,128.98,148.19,154.27,143.98,147.04,132.26,139.41,147.27,138.0431944
2014.5,145.86,147.81,139.36,132.56,148.41,153.33,132.94,137.78,141.85,148.57,159.49,117.2,118.04,117.98,135.47,123.47,147.62,118.47,141.89,142.72,142.16,151.74,163.92,153.83,130.99,100.25,149.11,124.91,137.56,142.29,135.45,117.19,123.72,148.1,137.25,156.08,132.71,121.77,138.52,138.26,105.91,155.23,148.07,132.99,135.83,135.89,124.94,141.59,119.44,123.03,143.78,145.69,133.8,161.09,181.35,155.53,146.8,175.96,160.03,126.43,140.26,115.42,102.17,147.95,128.89,141.61,162.02,152.69,144.2,138.07,141.39,155.06,139.1630556
2014.75,154.89,148.18,133.7,134.65,142.55,151.64,141.15,135.91,144.62,144.17,156.75,115.46,129.46,136.51,120.18,120.81,125.69,120.67,144.4,144.26,127.03,126.39,134.58,157.27,146.53,89.28,141.85,122.79,133.76,144.2,130.7,97.77,119.59,143.03,125.13,146.95,132.43,149.27,149.84,130.84,112.9,146.87,150.54,137.3,138.81,146.33,135.75,139.79,109.2,126.76,160.52,160.51,118.17,173.95,181.09,151.85,149.54,175.81,169.84,126.58,172.31,133.99,92.68,167.67,131.9,134.78,151.72,148.15,155.53,130.82,150.23,159.14,139.3876389
2015,150.85,149.91,131.69,135.65,146.14,144.04,136.76,144.32,147.93,142.4,156.75,118.8,142.52,125.91,121.21,130.2,147.45,119.6,152.58,140.79,127.28,154.81,159.91,152.64,139.8,105.27,144.72,117.96,152,151.66,142.5,113.22,132.7,129.4,133.65,144.82,143.53,133.58,141.35,126.46,146.17,143.74,143.6,132.81,142.73,133.71,121.36,140.1,109.67,121.81,137.6,147.44,126.83,168.53,187.21,145.91,149.94,170.28,163.47,116.77,180.05,105.85,113.04,168.64,134.39,140.87,175.25,157.88,138.06,135.76,146.2,151.87,140.6986111
2015.25,150.08,154.47,132.17,131.02,141.59,150.88,141.08,139.6,141.87,138.26,157.46,125.67,125.93,119.24,125.42,131.71,152.89,111.17,154.17,141.1,140.56,153.65,156.97,168.21,149.06,101.39,147.74,125.66,159.96,148.34,138.32,114.49,141.83,128.16,157.94,159.08,145.62,137.58,144.33,137.55,123.37,161.5,153.99,118.86,141.23,135.12,126.37,134.78,118.98,126.3,140.27,149.21,135.53,166.8,170.65,141.72,151.65,182.7,165.99,115.96,176.93,110.22,115.16,165.15,136.39,158.94,163.29,119.87,157.16,132.65,142.82,153.91,141.8845833
2015.5,159.05,154.22,137.04,130.34,136.83,154.48,146.33,147.78,147.04,151.12,159.09,121.74,131.36,115.62,132.97,144.42,157.44,118.56,143.51,141.24,134.59,162.95,160.02,145.01,156.64,126.26,155.39,134.39,149.74,153.21,133.12,115.39,137.13,162.76,134.85,141.71,152.77,143.41,157.75,139.48,119.24,150.28,141.96,121.78,140.51,142.02,121.15,121.9,107.87,131.39,142.09,154.98,136.98,164.72,172.91,155.28,149.4,171.35,166.67,135.67,145.19,133.1,106.92,159.58,123.75,157.37,159.25,171.55,144.03,164.21,136.48,149.41,143.4130556
