BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2000,14,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2001,7,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2002,7,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2003,10,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2004,11,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2005,13,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2006,16,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2007,18,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2008,17,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2009,29,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2010,22,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2011,29,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2012,25,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2013,11,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2014,19,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1990,102,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1991,90,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1992,72,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1993,48,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1994,98,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1995,157,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1996,146,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1997,89,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1998,159,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],1999,96,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2000,98,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2001,74,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2002,93,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2003,138,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2004,121,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2005,212,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2006,113,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2007,207,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2008,249,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2009,219,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2010,244,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2011,229,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2012,207,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2013,210,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,193,Verkäufe Stockwerkeigentum [Anz.],2014,150,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1990,63,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1991,53,Anz.,Anzahl
0,Bezirk Andelfingen,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1992,63,Anz.,Anzahl
