BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1992;36531;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1993;37088;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1994;37856;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1995;38573;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1996;39214;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1997;39489;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1998;39921;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1999;40701;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2000;41324;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2001;42226;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2002;42691;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2003;42956;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2004;43398;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2005;43926;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2006;44469;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2007;45221;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2008;46153;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2009;46978;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2010;48065;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2011;48908;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2012;49384;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2013;49854;Pers.;Personen;
0;Bezirk Affoltern;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];2014;50526;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1962;20422;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1963;20753;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1964;19379;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1965;19485;Pers.;Personen;
0;Bezirk Andelfingen;Bevölkerung und Soziales;Bevölkerungsbestand und Haushalte;Bevölkerungsbestand;133;Bevölkerung [Pers.];1966;19676;Pers.;Personen;
