"","diff(y)","lag(y, 1)","lag(x1, 1)","lag(x2, 1)","lag(x3, 1)","lag(diff(y), 1)","lag(diff(y), 2)","lag(diff(y), 3)","lag(diff(y), 4)","lag(diff(x1), 0)","lag(diff(x1), 1)","lag(diff(x1), 2)","lag(diff(x1), 3)","lag(diff(x1), 4)","lag(diff(x2), 0)","lag(diff(x2), 1)","lag(diff(x2), 2)","lag(diff(x2), 3)","lag(diff(x2), 4)","lag(diff(x3), 0)","lag(diff(x3), 1)","lag(diff(x3), 2)","lag(diff(x3), 3)","lag(diff(x3), 4)"
"214",4.715,83.93,108121,68500,0.71667,-1.25999999999999,2.39,3.96499999999999,-2.60499999999999,145.433520032515,110.87148176023,81.0981353109237,61.3633267753466,51.6670561534993,552.912989799224,230.054849417094,6.67523477980285,-61.6898073186603,24.9597231217631,0.05833,0.0166700000000001,0.20167,0.24833,-0.01
"215",0.859999999999985,88.645,108266.433520033,69052.9129897992,0.775,4.715,-1.25999999999999,2.39,3.96499999999999,163.784865764712,145.433520032515,110.87148176023,81.0981353109237,61.3633267753466,753.10546875,552.912989799224,230.054849417094,6.67523477980285,-61.6898073186603,-0.02667,0.05833,0.0166700000000001,0.20167,0.24833
"216",0.14500000000001,89.505,108430.218385797,69806.0184585492,0.74833,0.859999999999985,4.715,-1.25999999999999,2.39,160.675672866113,163.784865764712,145.433520032515,110.87148176023,81.0981353109237,775.096239475388,753.10546875,552.912989799224,230.054849417094,6.67523477980285,0.04167,-0.02667,0.05833,0.0166700000000001,0.20167
"217",2.66999999999999,89.65,108590.894058663,70581.1146980246,0.79,0.14500000000001,0.859999999999985,4.715,-1.25999999999999,136.10594133666,160.675672866113,163.784865764712,145.433520032515,110.87148176023,618.885301975388,775.096239475388,753.10546875,552.912989799224,230.054849417094,0.22,0.04167,-0.02667,0.05833,0.0166700000000001
"218",0.495000000000005,92.32,108727,71200,1.01,2.66999999999999,0.14500000000001,0.859999999999985,4.715,98.9738637164555,136.10594133666,160.675672866113,163.784865764712,145.433520032515,344.638317681354,618.885301975388,775.096239475388,753.10546875,552.912989799224,0.23917,0.22,0.04167,-0.02667,0.05833
"219",5.64500000000001,92.815,108825.973863716,71544.6383176814,1.24917,0.495000000000005,2.66999999999999,0.14500000000001,0.859999999999985,84.8722101657768,98.9738637164555,136.10594133666,160.675672866113,163.784865764712,193.017932318646,344.638317681354,618.885301975388,775.096239475388,753.10546875,0.27083,0.23917,0.22,0.04167,-0.02667
"220",-2.76500000000001,98.46,108910.846073882,71737.65625,1.52,5.64500000000001,0.495000000000005,2.66999999999999,0.14500000000001,102.699173224653,84.8722101657768,98.9738637164555,136.10594133666,160.675672866113,224.189807318646,193.017932318646,344.638317681354,618.885301975388,775.096239475388,0.29083,0.27083,0.23917,0.22,0.04167
"221",-0.474999999999994,95.695,109013.545247107,71961.8460573186,1.81083,-2.76500000000001,5.64500000000001,0.495000000000005,2.66999999999999,152.454752893114,102.699173224653,84.8722101657768,98.9738637164555,136.10594133666,438.153942681354,224.189807318646,193.017932318646,344.638317681354,618.885301975388,0.29167,0.29083,0.27083,0.23917,0.22
"222",4.78,95.22,109166,72400,2.1025,-0.474999999999994,-2.76500000000001,5.64500000000001,0.495000000000005,227.108525101648,152.454752893114,102.699173224653,84.8722101657768,98.9738637164555,782.596239475388,438.153942681354,224.189807318646,193.017932318646,344.638317681354,0.1925,0.29167,0.29083,0.27083,0.23917
"223",3.925,100,109393.108525102,73182.5962394754,2.295,4.78,-0.474999999999994,-2.76500000000001,5.64500000000001,298.538793572196,227.108525101648,152.454752893114,102.699173224653,84.8722101657768,1048.26030197539,782.596239475388,438.153942681354,224.189807318646,193.017932318646,0.405,0.1925,0.29167,0.29083,0.27083
"224",-3.45999999999999,103.925,109691.647318674,74230.8565414508,2.7,3.925,4.78,-0.474999999999994,-2.76500000000001,359.715134235288,298.538793572196,227.108525101648,152.454752893114,102.699173224653,1182.83203125,1048.26030197539,782.596239475388,438.153942681354,224.189807318646,0.085,0.405,0.1925,0.29167,0.29083
"225",3.07999999999998,100.465,110051.362452909,75413.6885727008,2.785,-3.45999999999999,3.925,4.78,-0.474999999999994,410.637547090868,359.715134235288,298.538793572196,227.108525101648,152.454752893114,1186.31142729922,1182.83203125,1048.26030197539,782.596239475388,438.153942681354,-0.02833,0.085,0.405,0.1925,0.29167
"226",0.085000000000008,103.545,110462,76600,2.75667,3.07999999999998,-3.45999999999999,3.925,4.78,447.388910876965,410.637547090868,359.715134235288,298.538793572196,227.108525101648,1059.35172441709,1186.31142729922,1182.83203125,1048.26030197539,782.596239475388,0.12833,-0.02833,0.085,0.405,0.1925
"227",-0.959999999999994,103.63,110909.388910877,77659.3517244171,2.885,0.085000000000008,3.07999999999998,-3.45999999999999,3.925,454.300740545412,447.388910876965,410.637547090868,359.715134235288,298.538793572196,804.565859779803,1059.35172441709,1186.31142729922,1182.83203125,1048.26030197539,-0.0949999999999998,0.12833,-0.02833,0.085,0.405
"228",2.83,102.67,111363.689651422,78463.9175841969,2.79,-0.959999999999994,0.085000000000008,3.07999999999998,-3.45999999999999,427.455914834238,454.300740545412,447.388910876965,410.637547090868,359.715134235288,422.60706768134,804.565859779803,1059.35172441709,1186.31142729922,1182.83203125,0.165,-0.0949999999999998,0.12833,-0.02833,0.085
"229",-3.71000000000001,105.5,111791.145566257,78886.5246518782,2.955,2.83,-0.959999999999994,0.085000000000008,3.07999999999998,366.854433743385,427.455914834238,454.300740545412,447.388910876965,410.637547090868,-86.5246518782369,422.60706768134,804.565859779803,1059.35172441709,1186.31142729922,-2.29333,0.165,-0.0949999999999998,0.12833,-0.02833
"230",4.01000000000001,101.79,112158,78800,0.66167,-3.71000000000001,2.83,-0.959999999999994,0.085000000000008,286.117081390519,366.854433743385,427.455914834238,454.300740545412,447.388910876965,-652.81563714378,-86.5246518782369,422.60706768134,804.565859779803,1059.35172441709,-0.25834,-2.29333,0.165,-0.0949999999999998,0.12833
"231",5.215,105.8,112444.117081391,78147.1843628562,0.40333,4.01000000000001,-3.71000000000001,2.83,-0.959999999999994,239.726994246113,286.117081390519,366.854433743385,427.455914834238,454.300740545412,-996.211241094556,-652.81563714378,-86.5246518782369,422.60706768134,804.565859779803,-0.00833,-0.25834,-2.29333,0.165,-0.0949999999999998
