Swiss national bank,,,,,,,,,,,,,,,,,,
Interest rates and exchange rates July 2015,,,,,,,,,,,,,,,,,,
Interest rates and exchange rates,,,,,,,,,,,,,,,,,,
 Money and capital market rates (end of month),,,,,,,,,,,,,,,,,,
Selected money and capital market rates (end of month) (monthly),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note: In order to fully understand the values in this file, it is",,,,,,,,,,,,,,,,,,
necessary to consult the corresponding publication document.,,,,,,,,,,,,,,,,,,
The available file does not contain any information about,,,,,,,,,,,,,,,,,,
"indices, footnotes etc..",,,,,,,,,,,,,,,,,,
A link to the appropriate PDF file can be found on the same web page,,,,,,,,,,,,,,,,,,
as the link to this file.,,,,,,,,,,,,,,,,,,
"For copyright reasons, the downloading of data series is restricted.",,,,,,,,,,,,,,,,,,
"In blocked time series, ""x"" is shown instead of the data.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Legend:,"M (missing) describes a ""."" in the publication;",,,,,,,,,,,,,,,,,
,"Z (zero) describes a ""-"" in the publication.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CHF,,,,,,,,,,,,,,,,,
,Money market rates,,,,,Yields  of the Confederation bonds – Yields on pure discount papers,,,,,,,,,,,,
,Zurich T/N,"London, Libor",,,,1 year,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,20 years,30 years,
,Call money,1 month,3 months,6 months,12 months,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1976 02,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 03,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 04,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 05,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 06,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 07,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 08,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 10,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 11,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 01,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 02,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 03,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 04,3.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 05,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 06,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 07,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 08,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 10,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 11,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 01,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 02,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 03,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 04,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 05,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 06,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 07,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 08,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 09,-1.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 10,-0.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 11,-0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 12,-0.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 01,-0.0625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 02,-0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 03,-0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 04,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 05,1.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 06,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 07,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 08,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 10,0.3125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 11,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 12,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 01,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 02,2.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 03,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 04,3.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 05,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 06,1.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 07,2.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 08,2.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 10,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 11,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 01,0.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 02,6.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 03,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 04,5.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 05,0.3125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 06,1.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 07,0.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 08,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 09,3.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 10,3.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 11,2.0625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 12,4.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 01,3.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 02,4.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 03,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 04,1.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 05,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 06,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 07,0.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 08,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 09,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 10,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 11,1.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 01,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 02,0.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 03,3.0625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 04,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 05,2.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 06,2.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 07,2.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 08,1.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 09,0.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 10,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 11,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 12,0.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 01,0.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 02,0.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 03,0.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 04,2.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 05,0.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 06,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 07,1.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 08,0.8125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 09,0.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 10,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 11,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 12,6.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 01,1.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 02,1.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 03,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 04,0.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 05,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 06,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 07,0.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 08,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 09,0.0625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 10,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 11,0.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 12,1.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 01,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 02,2.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 03,1.8125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 04,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 05,0.8125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 06,0.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 07,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 08,1.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 10,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 11,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 12,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 01,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 02,2.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 03,0.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 04,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 05,1.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 06,2.8125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 07,2.3125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 08,1.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 09,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 10,1.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 11,1.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1988 01,0.5625,M,M,M,M,2.887,3.218,3.393,3.554,3.695,3.81,3.904,3.98,4.041,4.092,4.326,M,
1988 02,0.5625,M,M,M,M,2.638,2.99,3.271,3.498,3.672,3.804,3.905,3.984,4.047,4.098,4.332,M,
