year,month,201012,200512,200005,199305,198212,197709,196609,193908
1955,10,,,,,,,,127.8
1955,11,,,,,,,,127.8
1955,12,,,,,,,,127.8
1956,1,,,,,,,,127.8
1956,2,,,,,,,,127.8
1956,3,,,,,,,,127.8
1956,4,,,,,,,,127.8
1956,5,,,,,,,,131
1956,6,,,,,,,,131
1956,7,,,,,,,,131
1956,8,,,,,,,,131
1956,9,,,,,,,,131
1956,10,,,,,,,,131
1956,11,,,,,,,,131
1956,12,,,,,,,,131
1957,1,,,,,,,,131
1957,2,,,,,,,,131
1957,3,,,,,,,,131
1957,4,,,,,,,,131
1957,5,,,,,,,,134.1
1957,6,,,,,,,,134.1
1957,7,,,,,,,,134.1
1957,8,,,,,,,,134.1
1957,9,,,,,,,,134.1
1957,10,,,,,,,,134.1
1957,11,,,,,,,,134.1
1957,12,,,,,,,,134.1
1958,1,,,,,,,,134.1
1958,2,,,,,,,,134.1
1958,3,,,,,,,,134.1
1958,4,,,,,,,,134.1
1958,5,,,,,,,,141.1
1958,6,,,,,,,,141.1
1958,7,,,,,,,,141.1
1958,8,,,,,,,,141.1
1958,9,,,,,,,,141.1
1958,10,,,,,,,,141.1
1958,11,,,,,,,,141.1
1958,12,,,,,,,,141.1
1959,1,,,,,,,,141.1
1959,2,,,,,,,,141.1
1959,3,,,,,,,,141.1
1959,4,,,,,,,,141.1
1959,5,,,,,,,,145.5
1959,6,,,,,,,,145.5
1959,7,,,,,,,,145.5
1959,8,,,,,,,,145.5
1959,9,,,,,,,,145.5
1959,10,,,,,,,,145.5
1959,11,,,,,,,,145.5
1959,12,,,,,,,,145.5
1960,1,,,,,,,,145.5
1960,2,,,,,,,,145.5
1960,3,,,,,,,,145.5
1960,4,,,,,,,,145.5
1960,5,,,,,,,,148.8
1960,6,,,,,,,,148.8
1960,7,,,,,,,,148.8
1960,8,,,,,,,,148.8
1960,9,,,,,,,,148.8
1960,10,,,,,,,,148.8
1960,11,,,,,,,,148.8
1960,12,,,,,,,,148.8
1961,1,,,,,,,,148.8
1961,2,,,,,,,,148.8
1961,3,,,,,,,,148.8
1961,4,,,,,,,,148.8
1961,5,,,,,,,,153.3
1961,6,,,,,,,,153.3
1961,7,,,,,,,,153.3
1961,8,,,,,,,,153.3
1961,9,,,,,,,,153.3
1961,10,,,,,,,,153.3
1961,11,,,,,,,,157.4
1961,12,,,,,,,,157.4
1962,1,,,,,,,,157.4
1962,2,,,,,,,,157.4
1962,3,,,,,,,,157.4
1962,4,,,,,,,,157.4
1962,5,,,,,,,,161.4
1962,6,,,,,,,,161.4
1962,7,,,,,,,,161.4
1962,8,,,,,,,,161.4
1962,9,,,,,,,,161.4
1962,10,,,,,,,,161.4
1962,11,,,,,,,,161.4
1962,12,,,,,,,,161.4
1963,1,,,,,,,,161.4
1963,2,,,,,,,,161.4
1963,3,,,,,,,,161.4
1963,4,,,,,,,,161.4
1963,5,,,,,,,,168.2
1963,6,,,,,,,,168.2
1963,7,,,,,,,,168.2
1963,8,,,,,,,,168.2
1963,9,,,,,,,,168.2
1963,10,,,,,,,,168.2
1963,11,,,,,,,,173.1
1963,12,,,,,,,,173.1
