Zinssätze für Kundengeschäfte der Banken / Taux d'intérêt des opérations avec la clientèle des banques / Interest rates on bank customer loans and deposits,,,
"4.1 Zinssätze für Hypothekarkredite
4.1 Taux d'intérêt des prêts hypothécaires
4.1 Interest rates on mortgage loans",,,
In Prozent / En pour-cent / In percent,,,
"Monatsanfang
Début de mois
Beginning of month","Variable 1. Hypotheken 
Prêts hypothécaires en 1er rang et à taux variable
Variable first mortgages",,
,"Kantonalbanken¹
Banques cantonales¹
Cantonal banks¹",,
,"Alte²
Anciennes hypothèques²
Existing²","Neue
Nouvelles hypothèques
New",
,,"Wohnbau²
Construction de logements²
Residential construction²","Landwirtschaft
Agriculture
"
,4,5A,5B
1952 10,3.54,-,-
1952 11,3.54,-,-
1952 12,3.54,-,-
1953 01,3.54,-,-
1953 02,3.54,-,-
1953 03,3.54,-,-
1953 04,3.54,-,-
1953 05,3.54,-,-
1953 06,3.54,-,-
1953 07,3.54,-,-
1953 08,3.54,-,-
1953 09,3.54,-,-
1953 10,3.54,-,-
1953 11,3.54,-,-
1953 12,3.54,-,-
1954 01,3.54,-,-
1954 02,3.54,-,-
1954 03,3.54,-,-
1954 04,3.54,-,-
1954 05,3.54,-,-
1954 06,3.54,-,-
1954 07,3.54,-,-
1954 08,3.54,-,-
1954 09,3.54,-,-
1954 10,3.54,-,-
1954 11,3.54,-,-
1954 12,3.54,-,-
1955 01,3.54,-,-
1955 02,3.54,-,-
1955 03,3.54,-,-
1955 04,3.54,-,-
1955 05,3.54,-,-
1955 06,3.54,-,-
1955 07,3.54,-,-
1955 08,3.54,-,-
1955 09,3.54,-,-
1955 10,3.54,-,-
1955 11,3.54,-,-
1955 12,3.54,-,-
1956 01,3.54,-,-
1956 02,3.54,-,-
1956 03,3.54,-,-
1956 04,3.54,-,-
1956 05,3.54,-,-
1956 06,3.54,-,-
1956 07,3.54,-,-
1956 08,3.54,-,-
1956 09,3.54,-,-
1956 10,3.54,-,-
1956 11,3.54,-,-
1956 12,3.54,-,-
1957 01,3.54,3.54,3.54
1957 02,3.54,3.55,3.54
1957 03,3.54,3.55,3.54
1957 04,3.54,3.59,3.54
1957 05,3.54,3.7,3.57
